 姓名        地区       身高      体重          电话
况永密       北京       171       50        13651054608
王心颜       上海       165       48        13813234424
马芊羽       深圳       160       45        13744234523
乔一飞       广州       169       49        15823423525
罗梦竹       北京       167       45        18623423421
刘诺菡       北京       163       49        18623423765
岳妮妮       深圳       175       53        18835324553
贺婉萱       上海       163       47        18933434452
叶梓萱       广州       168       46        18042432324
杜珊珊       北京       160       45        13324523342
